name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Lime juice, raw	Fruits and Fruit Juices	0.42	0.014	0.002	0.4	0.03	0.117	8.42	1.69	0.07	90.79	25	0.008	0.008	0.023	30010
Limes, raw	Fruits and Fruit Juices	0.7	0.033	0.002	2.8	0.0291	0.102	10.54	1.69	0.2	88.26	30	0.022	0.019	0.055	30011
Litchis, dried	Fruits and Fruit Juices	3.8	0.033	0.003	4.6	0.183	1.11	70.7	66.1	1.2	22.3	277	0.27	0.328	0.361	30012
Litchis, raw	Fruits and Fruit Juices	0.83	0.005	0.001	1.3	0.0715	0.171	16.53	15.23	0.44	81.76	66	0.099	0.12	0.132	30013
Loganberries, frozen	Fruits and Fruit Juices	1.52	0.026	0.001	5.3	0.0153	0.145	13.02	7.7	0.31	84.61	55	0.011	0.03	0.176	30014
Mango nectar, canned	Fruits and Fruit Juices	0.11	0.017	0.005	0.3	0.0152	0.024	13.12	12.45	0.06	86.63	51	0.014	0.022	0.011	30019
Mangos, raw	Fruits and Fruit Juices	0.82	0.011	0.001	1.6	0.0364	0.168	14.98	13.66	0.38	83.46	60	0.092	0.14	0.071	30020
Maraschino cherries, canned, drained	Fruits and Fruit Juices	0.22	0.054	0.004	3.2	0	0.021	41.97	38.77	0.21	57.27	165	0.039	0.049	0.055	30022
Melons, cantaloupe, raw	Fruits and Fruit Juices	0.84	0.009	0.016	0.9	0.0367	0.267	8.16	7.86	0.19	90.15	34	0.051	0.003	0.081	30024
Melons, casaba, raw	Fruits and Fruit Juices	1.11	0.011	0.009	0.9	0.0218	0.182	6.58	5.69	0.1	91.85	28	0.025	0.002	0.039	30025
Melons, honeydew, raw	Fruits and Fruit Juices	0.54	0.006	0.018	0.8	0.018	0.228	9.09	8.12	0.14	89.82	36	0.038	0.003	0.059	30026
Mulberries, raw	Fruits and Fruit Juices	1.44	0.039	0.01	1.7	0.0364	0.194	9.8	8.1	0.39	87.68	43	0.027	0.041	0.207	30027
Nectarines, raw	Fruits and Fruit Juices	1.06	0.006	0	1.7	0.0054	0.201	10.55	7.89	0.32	87.59	44	0.025	0.088	0.113	30031
Olives, pickled, canned or bottled, green	Fruits and Fruit Juices	1.03	0.052	1.556	3.3	0	0.042	3.84	0.54	15.32	75.28	145	2.029	11.314	1.307	30033
Orange juice, canned, unsweetened	Fruits and Fruit Juices	0.68	0.01	0.004	0.3	0.0301	0.184	11.01	8.76	0.15	87.72	47	0.018	0.025	0.034	30036
Orange juice, chilled, includes from concentrate	Fruits and Fruit Juices	0.68	0.011	0.002	0.3	0.0336	0.178	11.54	8.31	0.12	87.22	49	0.014	0.022	0.03	30037
Orange juice, chilled, includes from concentrate, fortified with calcium	Fruits and Fruit Juices	0.68	0.201	0.002	0.3	0.0336	0.178	11.27	8.31	0.12	87.22	47	0.014	0.022	0.03	30038
Orange juice, chilled, includes from concentrate, fortified with calcium and vitamin D	Fruits and Fruit Juices	0.68	0.201	0.002	0.3	0.0336	0.178	11.27	8.31	0.12	87.22	47	0.014	0.022	0.03	30039
Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water	Fruits and Fruit Juices	0.68	0.009	0.001	0.2	0.0389	0.19	10.78	8.4	0.06	88.1	45	0.007	0.01	0.012	30040
Orange juice, frozen concentrate, unsweetened, undiluted	Fruits and Fruit Juices	2.39	0.032	0.003	0.8	0.1379	0.674	38.17	37.37	0.21	57.85	159	0.024	0.038	0.041	30041
Orange juice, raw	Fruits and Fruit Juices	0.7	0.011	0.001	0.2	0.05	0.2	10.4	8.4	0.2	88.3	45	0.024	0.036	0.04	30042
Orange-grapefruit juice, canned, unsweetened	Fruits and Fruit Juices	0.6	0.008	0.003	0.1	0.0291	0.158	10.28	10.18	0.1	88.64	43	0.011	0.017	0.019	30044
Orange-strawberry-banana juice	Fruits and Fruit Juices	0.42	0.008	0.004	0.2	0.025	0.146	12.34	9.58	0.16	86.75	50	0.023	0.02	0.042	30045
Oranges, raw, Florida	Fruits and Fruit Juices	0.7	0.043	0	2.4	0.045	0.169	11.54	9.14	0.21	87.14	46	0.025	0.039	0.042	30047
Oranges, raw, all commercial varieties	Fruits and Fruit Juices	0.94	0.04	0	2.4	0.0532	0.181	11.75	9.35	0.12	86.75	47	0.015	0.023	0.025	30048
Oranges, raw, navels	Fruits and Fruit Juices	0.91	0.043	0.001	2.2	0.0591	0.166	12.54	8.5	0.15	85.97	49	0.017	0.03	0.031	30049
Papaya nectar, canned	Fruits and Fruit Juices	0.17	0.01	0.005	0.6	0.003	0.031	14.51	13.91	0.15	85.02	57	0.047	0.041	0.035	30051
Papaya, canned, heavy syrup, drained	Fruits and Fruit Juices	0.14	0.021	0.009	1.5	0.0035	0.067	55.83	52.2	0.55	43.33	206	0.268	0.076	0.096	30052
Papayas, raw	Fruits and Fruit Juices	0.47	0.02	0.008	1.7	0.0609	0.182	10.82	7.82	0.26	88.06	43	0.081	0.072	0.058	30053
Passion-fruit juice, purple, raw	Fruits and Fruit Juices	0.39	0.004	0.006	0.2	0.0298	0.278	13.6	13.4	0.05	85.62	51	0.004	0.006	0.029	30054
Passion-fruit juice, yellow, raw	Fruits and Fruit Juices	0.67	0.004	0.006	0.2	0.0182	0.278	14.45	14.25	0.18	84.21	60	0.015	0.022	0.106	30055
Passion-fruit, (granadilla), purple, raw	Fruits and Fruit Juices	2.2	0.012	0.028	10.4	0.03	0.348	23.38	11.2	0.7	72.93	97	0.059	0.086	0.411	30056
Peach nectar, canned, without added ascorbic acid	Fruits and Fruit Juices	0.27	0.005	0.007	0.6	0.0053	0.04	13.92	13.32	0.02	85.64	54	0.002	0.008	0.011	30058
Peaches, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.45	0.003	0.006	1.3	0.0028	0.092	19.94	18.64	0.1	79.28	74	0.01	0.035	0.047	30061
Peaches, canned, heavy syrup, drained	Fruits and Fruit Juices	0.52	0.003	0.006	1.2	0.0007	0.094	18.43	14.66	0.18	80.62	72	0.013	0.047	0.066	30062
Peaches, canned, juice pack, solids and liquids	Fruits and Fruit Juices	0.63	0.006	0.004	1.3	0.0036	0.128	11.57	10.27	0.03	87.49	44	0.004	0.012	0.016	30063
Peaches, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.45	0.003	0.005	1.3	0.0024	0.097	14.55	13.25	0.03	84.72	54	0.003	0.012	0.015	30064
Peaches, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.44	0.002	0.003	1.3	0.0029	0.099	6.11	4.81	0.06	93.13	24	0.006	0.021	0.028	30065
Peaches, dried, sulfured, stewed, without added sugar	Fruits and Fruit Juices	1.16	0.009	0.002	2.7	0.0037	0.32	19.69	16.99	0.25	78.1	77	0.026	0.089	0.118	30069
Peaches, dried, sulfured, uncooked	Fruits and Fruit Juices	3.61	0.028	0.007	8.2	0.0048	0.996	61.33	41.74	0.76	31.8	239	0.082	0.278	0.367	30070
Peaches, frozen, sliced, sweetened	Fruits and Fruit Juices	0.63	0.003	0.006	1.8	0.0942	0.13	23.98	22.18	0.13	74.73	94	0.014	0.048	0.064	30071
Peaches, raw	Fruits and Fruit Juices	0.91	0.006	0	1.5	0.0066	0.19	9.54	8.39	0.25	88.87	39	0.019	0.067	0.086	30072
Peaches, spiced, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.41	0.006	0.004	1.3	0.0053	0.085	20.08	18.78	0.1	79.2	75	0.011	0.036	0.048	30073
Pears, asian, raw	Fruits and Fruit Juices	0.5	0.004	0	3.6	0.0038	0.121	10.65	7.05	0.23	88.25	42	0.012	0.049	0.055	30076
Pears, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.2	0.005	0.005	1.6	0.0011	0.065	19.17	15.2	0.13	80.35	74	0.007	0.027	0.03	30079
Pears, canned, heavy syrup, drained	Fruits and Fruit Juices	0.24	0.006	0.005	2.7	0.0011	0.066	19.08	16.42	0.18	80.35	74	0.01	0.037	0.041	30080
Pears, canned, juice pack, solids and liquids	Fruits and Fruit Juices	0.34	0.009	0.004	1.6	0.0016	0.096	12.94	9.7	0.07	86.47	50	0.004	0.014	0.015	30081
Pears, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.19	0.005	0.005	1.6	0.0007	0.066	15.17	12.1	0.03	84.46	57	0.002	0.006	0.007	30082
Pears, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.19	0.004	0.002	1.6	0.001	0.053	7.81	6.1	0.03	91.81	29	0.002	0.006	0.007	30083
Pears, dried, sulfured, stewed, without added sugar	Fruits and Fruit Juices	0.91	0.016	0.003	6.4	0.004	0.258	33.81	27.41	0.31	64.44	127	0.017	0.064	0.072	30085
Pears, dried, sulfured, uncooked	Fruits and Fruit Juices	1.87	0.034	0.006	7.5	0.007	0.533	69.7	62.2	0.63	26.69	262	0.035	0.132	0.148	30086
Pears, raw	Fruits and Fruit Juices	0.38	0.009	0.001	3.1	0.0042	0.119	15.46	9.8	0.12	83.71	58	0.006	0.026	0.029	30087
Persimmons, japanese, raw	Fruits and Fruit Juices	0.58	0.008	0.001	3.6	0.0075	0.161	18.59	12.53	0.19	80.32	70	0.02	0.037	0.043	30089
Pineapple juice, canned, unsweetened, with added ascorbic acid	Fruits and Fruit Juices	0.36	0.013	0.002	0.2	0.0438	0.13	12.87	9.98	0.12	86.37	53	0.008	0.014	0.042	30091
Pineapple juice, canned, unsweetened, without added ascorbic acid	Fruits and Fruit Juices	0.36	0.013	0.002	0.2	0.01	0.13	12.87	9.98	0.12	86.37	53	0.008	0.014	0.042	30092
Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water	Fruits and Fruit Juices	0.4	0.013	0.001	0.2	0.012	0.132	12.67	12.47	0.03	86.6	51	0.002	0.003	0.01	30093
Pineapple juice, frozen concentrate, unsweetened, undiluted	Fruits and Fruit Juices	1.3	0.039	0.003	0.7	0.042	0.472	44.3	43.6	0.1	53.1	179	0.007	0.012	0.035	30094
Pineapple, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.35	0.014	0.001	0.8	0.0074	0.104	20.2	16.9	0.11	78.99	78	0.009	0.013	0.04	30096
Pineapple, canned, juice pack, drained	Fruits and Fruit Juices	0.51	0.016	0.001	1.3	0.0094	0.124	15.56	14.26	0.11	83.51	60	0.008	0.014	0.04	30097
Pineapple, canned, juice pack, solids and liquids	Fruits and Fruit Juices	0.42	0.014	0.001	0.8	0.0095	0.122	15.7	14.45	0.08	83.51	60	0.006	0.01	0.029	30098
Pineapple, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.36	0.014	0.001	0.8	0.0075	0.105	13.45	12.65	0.12	85.73	52	0.009	0.013	0.04	30099
Pineapple, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.43	0.015	0.001	0.8	0.0077	0.127	8.3	7.5	0.09	90.82	32	0.006	0.011	0.031	30100
Pineapple, frozen, chunks, sweetened	Fruits and Fruit Juices	0.4	0.009	0.002	1.1	0.008	0.1	22.2	21.1	0.1	77.1	86	0.007	0.012	0.035	30101
Pineapple, raw, all varieties	Fruits and Fruit Juices	0.54	0.013	0.001	1.4	0.0478	0.109	13.12	9.85	0.12	86	50	0.009	0.013	0.04	30102
Plantains, cooked	Fruits and Fruit Juices	0.79	0.002	0.005	2.3	0.0109	0.465	31.15	14	0.18	67.3	116	0.069	0.015	0.033	30106
Plantains, green, fried	Fruits and Fruit Juices	1.5	0.004	0.002	3.5	0.0034	0.482	49.17	3.63	11.81	36.08	309	3.69	4.353	2.697	30107
Plantains, raw	Fruits and Fruit Juices	1.3	0.003	0.004	2.3	0.0184	0.499	31.89	15	0.37	65.28	122	0.143	0.032	0.069	30108
Plantains, yellow, fried, Latino restaurant	Fruits and Fruit Juices	1.42	0.006	0.006	3.2	0	0.507	40.77	21.76	7.51	49.04	236	1.816	2.319	2.275	30109
Plums, canned, heavy syrup, drained	Fruits and Fruit Juices	0.44	0.01	0.019	1.5	0.0004	0.093	23.12	21.58	0.14	76.06	89	0.011	0.09	0.03	30110
Plums, canned, purple, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.36	0.009	0.019	0.9	0.0004	0.091	23.24	22.31	0.1	76.06	89	0.008	0.066	0.022	30112
Plums, canned, purple, juice pack, solids and liquids	Fruits and Fruit Juices	0.51	0.01	0.001	0.9	0.0028	0.154	15.15	14.22	0.02	84.02	58	0.002	0.014	0.005	30113
Plums, canned, purple, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.37	0.009	0.02	0.9	0.0004	0.093	16.28	15.35	0.1	83	63	0.008	0.069	0.023	30114
Plums, dried (prunes), stewed, without added sugar	Fruits and Fruit Juices	0.96	0.019	0.001	3.1	0.0029	0.321	28.08	24.98	0.16	69.73	107	0.01	0.08	0.026	30117
Plums, dried (prunes), uncooked	Fruits and Fruit Juices	2.18	0.043	0.002	7.1	0.0006	0.732	63.88	38.13	0.38	30.92	240	0.088	0.053	0.062	30118
Plums, raw	Fruits and Fruit Juices	0.7	0.006	0	1.4	0.0095	0.157	11.42	9.92	0.28	87.23	46	0.017	0.134	0.044	30119
Pomegranate juice, bottled	Fruits and Fruit Juices	0.15	0.011	0.009	0.1	0.0001	0.214	13.13	12.65	0.29	85.95	54	0.077	0.059	0.05	30120
Pomegranates, raw	Fruits and Fruit Juices	1.67	0.01	0.003	4	0.0102	0.236	18.7	13.67	1.17	77.93	83	0.12	0.093	0.079	30121
Prune juice, canned	Fruits and Fruit Juices	0.61	0.012	0.004	1	0.0041	0.276	17.45	16.45	0.03	81.24	71	0.003	0.021	0.007	30123
Raisins, golden seedless	Fruits and Fruit Juices	3.39	0.053	0.012	4	0.0032	0.746	79.52	59.19	0.46	14.97	302	0.151	0.019	0.135	30130
Raisins, seedless	Fruits and Fruit Juices	3.07	0.05	0.011	3.7	0.0023	0.749	79.18	59.19	0.46	15.43	299	0.058	0.051	0.037	30132
Raspberries, canned, red, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.83	0.011	0.003	3.3	0.0087	0.094	23.36	20.06	0.12	75.33	91	0.005	0.011	0.068	30134
Raspberries, frozen, red, sweetened	Fruits and Fruit Juices	0.7	0.015	0.001	4.4	0.0165	0.114	26.16	21.76	0.16	72.75	103	0.005	0.015	0.089	30135
Raspberries, raw	Fruits and Fruit Juices	1.2	0.025	0.001	6.5	0.0262	0.151	11.94	4.42	0.65	85.75	52	0.019	0.064	0.375	30136
Rhubarb, frozen, cooked, with sugar	Fruits and Fruit Juices	0.39	0.145	0.001	2	0.0033	0.096	31.2	28.7	0.05	67.79	116	0.014	0.01	0.025	30137
Rhubarb, frozen, uncooked	Fruits and Fruit Juices	0.55	0.194	0.002	1.8	0.0048	0.108	5.1	1.1	0.11	93.51	21	0.029	0.021	0.054	30138
Rhubarb, raw	Fruits and Fruit Juices	0.9	0.086	0.004	1.8	0.008	0.288	4.54	1.1	0.2	93.61	21	0.053	0.039	0.099	30139
Sapote, mamey, raw	Fruits and Fruit Juices	1.45	0.018	0.007	5.4	0.023	0.454	32.1	20.14	0.46	64.87	124	0.169	0.102	0.097	30144
Soursop, raw	Fruits and Fruit Juices	1	0.014	0.014	3.3	0.0206	0.278	16.84	13.54	0.3	81.16	66	0.051	0.09	0.069	30145
Strawberries, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.56	0.013	0.004	1.7	0.0317	0.086	23.53	21.83	0.26	75.35	92	0.014	0.036	0.129	30146
Strawberries, frozen, sweetened, sliced	Fruits and Fruit Juices	0.53	0.011	0.003	1.9	0.0414	0.098	25.92	24.01	0.13	73.18	96	0.007	0.018	0.064	30147
Strawberries, frozen, sweetened, whole	Fruits and Fruit Juices	0.52	0.011	0.001	1.9	0.0395	0.098	21	18.61	0.14	78.05	78	0.007	0.019	0.068	30148
Strawberries, frozen, unsweetened	Fruits and Fruit Juices	0.43	0.016	0.002	2.1	0.0412	0.148	9.13	4.56	0.11	89.97	35	0.006	0.015	0.054	30149
Strawberries, raw	Fruits and Fruit Juices	0.67	0.016	0.001	2	0.0588	0.153	7.68	4.89	0.3	90.95	32	0.015	0.043	0.155	30150
Tamarinds, raw	Fruits and Fruit Juices	2.8	0.074	0.028	5.1	0.0035	0.628	62.5	57.4	0.6	31.4	239	0.272	0.181	0.059	30153
Tangerine juice, canned, sweetened	Fruits and Fruit Juices	0.5	0.018	0.001	0.2	0.022	0.178	12	11.8	0.2	87	50	0.013	0.018	0.025	30154
Tangerine juice, raw	Fruits and Fruit Juices	0.5	0.018	0.001	0.2	0.031	0.178	10.1	9.9	0.2	88.9	43	0.024	0.036	0.04	30157
Tangerines, (mandarin oranges), canned, juice pack	Fruits and Fruit Juices	0.62	0.011	0.005	0.7	0.0342	0.133	9.57	8.87	0.03	89.51	37	0.003	0.005	0.005	30158
Tangerines, (mandarin oranges), canned, juice pack, drained	Fruits and Fruit Juices	0.75	0.012	0.005	1.2	0.0339	0.136	9.41	8.25	0.04	89.51	38	0.004	0.007	0.007	30159
Tangerines, (mandarin oranges), canned, light syrup pack	Fruits and Fruit Juices	0.45	0.007	0.006	0.7	0.0198	0.078	16.19	15.49	0.1	83.06	61	0.012	0.018	0.02	30160
Tangerines, (mandarin oranges), raw	Fruits and Fruit Juices	0.81	0.037	0.002	1.8	0.0267	0.166	13.34	10.58	0.31	85.17	53	0.039	0.06	0.065	30161
Watermelon, raw	Fruits and Fruit Juices	0.61	0.007	0.001	0.4	0.0081	0.112	7.55	6.2	0.15	91.45	30	0.016	0.037	0.05	30167
Alfalfa seeds, sprouted, raw	Vegetables and Vegetable Products	3.99	0.032	0.006	1.9	0.0082	0.079	2.1	0.18	0.69	92.82	23	0.069	0.056	0.409	30496
Artichokes, (globe or french), cooked, boiled, drained, with salt	Vegetables and Vegetable Products	2.89	0.021	0.06	8.6	0.0074	0.286	11.95	0.99	0.34	84.08	53	0.081	0.011	0.143	30504
Artichokes, (globe or french), cooked, boiled, drained, without salt	Vegetables and Vegetable Products	2.89	0.021	0.06	8.6	0.0074	0.286	11.95	0.99	0.34	84.08	53	0.081	0.011	0.143	30505
Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	3.11	0.021	0.289	4.6	0.005	0.264	9.18	0.84	0.5	86.5	45	0.119	0.015	0.216	30506
Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	3.11	0.021	0.053	4.6	0.005	0.264	9.18	0.84	0.5	86.5	45	0.119	0.015	0.216	30507
Artichokes, (globe or french), raw	Vegetables and Vegetable Products	3.27	0.044	0.094	5.4	0.0117	0.37	10.51	0.99	0.15	84.94	47	0.036	0.005	0.064	30509
Arugula, raw	Vegetables and Vegetable Products	2.58	0.16	0.027	1.6	0.015	0.369	3.65	2.05	0.66	91.71	25	0.086	0.049	0.319	30510
Asparagus, canned, drained solids	Vegetables and Vegetable Products	2.14	0.016	0.287	1.6	0.0184	0.172	2.46	1.06	0.65	93.98	19	0.147	0.021	0.284	30511
Asparagus, canned, no salt added, solids and liquids	Vegetables and Vegetable Products	1.8	0.015	0.026	1	0.0165	0.172	2.48	1	0.18	94.32	15	0.041	0.006	0.079	30512
Asparagus, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	2.95	0.018	0.24	1.6	0.0244	0.172	1.92	0.32	0.42	94.1	18	0.096	0.013	0.185	30516
Asparagus, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	2.95	0.018	0.003	1.6	0.0244	0.172	1.92	0.32	0.42	94.1	18	0.096	0.013	0.185	30517
Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	3.6	0.042	0.013	1.9	0.0556	0.602	6.68	1.04	0.2	88.69	34	0.032	0.005	0.083	30521
Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	0.84	0.009	0.006	2	0.033	0.319	4.32	1.95	0.18	93.95	19	0.014	0.033	0.078	30524
Bamboo shoots, canned, drained solids	Vegetables and Vegetable Products	1.72	0.008	0.007	1.4	0.0011	0.08	3.22	1.89	0.4	94.32	19	0.092	0.009	0.178	30526
Bamboo shoots, raw	Vegetables and Vegetable Products	2.6	0.013	0.004	2.2	0.004	0.533	5.2	3	0.3	91	27	0.069	0.007	0.134	30529
Beans, mung, mature seeds, sprouted, canned, drained solids	Vegetables and Vegetable Products	1.4	0.014	0.14	0.8	0.0003	0.027	2.14	1.34	0.06	96.1	12	0.016	0.008	0.02	30535
Beans, shellie, canned, solids and liquids	Vegetables and Vegetable Products	1.76	0.029	0.334	3.4	0.0031	0.109	6.19	0.63	0.19	90.69	30	0.023	0.014	0.11	30545
Beans, snap, green, canned, no salt added, drained solids	Vegetables and Vegetable Products	1.15	0.026	0.002	1.9	0.0048	0.109	4.5	0.77	0.1	93.3	20	0.023	0.004	0.052	30548
Beans, snap, green, canned, regular pack, drained solids	Vegetables and Vegetable Products	1.18	0.028	0.262	2.3	0.0043	0.111	4.41	0.78	0.11	93.29	23	0.025	0.004	0.056	30550
Beans, snap, green, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.89	0.044	0.239	3.2	0.0097	0.146	7.88	1.55	0.28	89.22	35	0.062	0.012	0.145	30551
Beans, snap, green, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	1.89	0.044	0.001	3.2	0.0097	0.146	7.88	1.55	0.28	89.22	35	0.062	0.012	0.145	30552
Beans, snap, green, frozen, all styles, microwaved	Vegetables and Vegetable Products	1.98	0.061	0.003	3.4	0.011	0.237	6.98	2.6	0.41	89.93	40	0.047	0.008	0.108	30553
Beans, snap, green, frozen, all styles, unprepared	Vegetables and Vegetable Products	1.79	0.042	0.003	2.6	0.0129	0.186	7.54	2.21	0.21	89.93	39	0.047	0.008	0.108	30554
Beans, snap, green, frozen, cooked, boiled, drained without salt	Vegetables and Vegetable Products	1.49	0.042	0.001	3	0.0041	0.159	6.45	1.23	0.17	91.42	28	0.042	0.007	0.084	30555
Beans, snap, green, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.49	0.042	0.245	3	0.0041	0.159	5.86	1.23	0.17	91.42	26	0.042	0.007	0.084	30556
Beans, snap, green, raw	Vegetables and Vegetable Products	1.83	0.037	0.006	2.7	0.0122	0.211	6.97	3.26	0.22	90.32	31	0.05	0.01	0.113	30558
Beans, snap, yellow, canned, no salt added, drained solids	Vegetables and Vegetable Products	1.15	0.026	0.002	1.3	0.0048	0.109	4.5	0.96	0.1	93.3	20	0.022	0.004	0.051	30559
Beans, snap, yellow, canned, regular pack, drained solids	Vegetables and Vegetable Products	1.15	0.026	0.251	1.3	0.0048	0.109	4.5	0.96	0.1	93.3	20	0.022	0.004	0.051	30561
Beans, snap, yellow, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.89	0.046	0.239	3.3	0.0097	0.299	7.88	1.55	0.28	89.22	35	0.062	0.012	0.145	30563
Beans, snap, yellow, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	1.89	0.046	0.003	3.3	0.0097	0.299	7.88	1.55	0.28	89.22	35	0.062	0.012	0.145	30564
Beans, snap, yellow, frozen, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	1.49	0.049	0.245	3	0.0041	0.126	5.86	1.23	0.17	91.42	26	0.042	0.007	0.084	30566
Beans, snap, yellow, frozen, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	1.49	0.049	0.009	3	0.0041	0.126	6.45	1.23	0.17	91.42	28	0.042	0.007	0.084	30567
Beet greens, cooked, boiled, drained, with salt	Vegetables and Vegetable Products	2.57	0.114	0.477	2.9	0.0249	0.909	5.46	0.6	0.2	89.13	27	0.031	0.038	0.07	30569
Beet greens, cooked, boiled, drained, without salt	Vegetables and Vegetable Products	2.57	0.114	0.241	2.9	0.0249	0.909	5.46	0.6	0.2	89.13	27	0.031	0.038	0.07	30570
Beet greens, raw	Vegetables and Vegetable Products	2.2	0.117	0.226	3.7	0.03	0.762	4.33	0.5	0.13	91.02	22	0.02	0.026	0.046	30571
Beets, canned, drained solids	Vegetables and Vegetable Products	0.91	0.015	0.194	1.8	0.0041	0.148	7.21	5.51	0.14	90.96	31	0.022	0.027	0.049	30572
Beets, canned, no salt added, solids and liquids	Vegetables and Vegetable Products	0.8	0.013	0.021	1.2	0.0028	0.142	6.57	5.38	0.07	91.62	28	0.011	0.013	0.025	30573
Beets, canned, regular pack, solids and liquids	Vegetables and Vegetable Products	0.73	0.018	0.143	1.2	0.0028	0.159	7.14	6.53	0.09	91.3	30	0.013	0.016	0.03	30574
Beets, cooked, boiled, drained	Vegetables and Vegetable Products	1.68	0.016	0.077	2	0.0036	0.305	9.96	7.96	0.18	87.06	44	0.028	0.035	0.064	30575
Beets, cooked, boiled. drained, with salt	Vegetables and Vegetable Products	1.68	0.016	0.285	2	0.0036	0.305	9.96	7.96	0.18	87.06	44	0.028	0.035	0.064	30576
Beets, pickled, canned, solids and liquids	Vegetables and Vegetable Products	0.8	0.011	0.264	2.6	0.0023	0.148	16.28	13.59	0.08	81.88	65	0.013	0.016	0.029	30578
Beets, raw	Vegetables and Vegetable Products	1.61	0.016	0.078	2.8	0.0049	0.325	9.56	6.76	0.17	87.58	43	0.027	0.032	0.06	30579
Broccoli raab, cooked	Vegetables and Vegetable Products	3.83	0.118	0.056	2.8	0.037	0.343	3.12	0.62	0.52	91.41	33	0.057	0.03	0.15	30586
Broccoli raab, raw	Vegetables and Vegetable Products	3.17	0.108	0.033	2.7	0.0202	0.196	2.85	0.38	0.49	92.55	22	0.05	0.026	0.13	30587
Broccoli, chinese, cooked	Vegetables and Vegetable Products	1.14	0.1	0.007	2.5	0.0282	0.261	3.81	0.84	0.72	93.54	22	0.11	0.05	0.33	30588
